Alpha-Numeric Code ,Station name ,Opening ,Construction names ,Abbreviation,,
 EW28  ,Pioneer ,先驱 ,பயனியர் ,28 February 2009 ,Pioneer ,PNR
 EW29  ,Joo Koon ,裕群 ,ஜூ கூன் ,28 February 2009 ,Joo Koon ,JKN
 EW30  ,Gul Circle ,卡尔圈 ,கல் சர்க்கிள் ,Q2 2017[2] ,Tuas ,GCL
 EW31  ,Tuas Crescent ,大士弯 ,துவாஸ் கிரசன்ட் ,Q2 2017 ,Tuas Crescent ,TBA
 EW32  ,Tuas West Road ,大士西路 ,துவாஸ் வெஸ்ட் ரோடு ,Q2 2017 ,Tuas West ,TBA
 EW33  ,Tuas Link ,大士连路 ,துவாஸ் லிங்க் ,Q2 2017 ,Tuas Link ,TBA
 CG1  DT35  ,Expo ,博览 ,எக்ஸ்போ ,10 January 2001 ,Somapah ,XPO
 CG2  ,Changi Airport ,樟宜机场 ,சாங்கி விமானநிலையம் ,8 February 2002 ,Changi Airport ,CGA
 NE1  CC29  ,HarbourFront ,港湾 ,துறைமுகம் ,20 June 2003 ,World Trade Centre ,HBF
 NE2  ,Reserved Station ,,,,,
 NE3  EW16  TE17  ,Outram Park ,欧南园 ,ஊட்ரம் பார்க் ,20 June 2003 ,Outram Park ,OTP
 NE4  DT19  ,Chinatown ,牛车水 ,சைனாடவுன் ,20 June 2003 ,People's Park ,CNT
 NE5  ,Clarke Quay ,克拉码头 ,கிளார்க் கீ ,20 June 2003 ,Clarke Quay ,CQY
 NE6  NS24  CC1  ,Dhoby Ghaut ,多美歌 ,டோபி காட் ,20 June 2003 ,Dhoby Ghaut ,DBG
 NE7  DT12  ,Little India ,小印度 ,லிட்டில் இந்தியா ,20 June 2003 ,Kandang Kerbau ,LTI
 NE8  ,Farrer Park ,花拉公园 ,ஃபேரர் பார்க் ,20 June 2003 ,Farrer Park ,FRP
 NE9  ,Boon Keng ,文庆 ,பூன் கெங் ,20 June 2003 ,Boon Keng ,BNK
 NE10  ,Potong Pasir ,波东巴西 ,போத்தோங் பாசிர் ,20 June 2003 ,Sennett ,PTP
 NE11  ,Woodleigh ,兀里 ,உட்லீ ,20 June 2011 ,Woodleigh ,WLH
 NE12  CC13  ,Serangoon ,实龙岗 ,சிராங்கூன் ,20 June 2003 ,Serangoon ,SER
 NE13  ,Kovan ,高文 ,கோவன் ,20 June 2003 ,Kovan ,KVN
 NE14  ,Hougang ,后港 ,ஹவ்காங் ,20 June 2003 ,Hougang ,HGH
 NE15  ,Buangkok ,万国 ,புவாங்கோக் ,15 January 2006 ,Buangkok ,BGK
 NE16  STC  ,Sengkang ,盛港 ,செங்காங் ,20 June 2003 ,Sengkang ,SKG
 NE17  PTC  ,Punggol ,榜鹅 ,பொங்கோல் ,20 June 2003 ,Punggol ,PGL
 CC1  NS24  NE6  ,Dhoby Ghaut ,多美歌 ,டோபி காட் ,17 April 2010 ,Dhoby Ghaut ,DBG
 CC2  ,Bras Basah ,百胜 ,பிராஸ் பாசா ,17 April 2010 ,Museum ,BBS
 CC3  ,Esplanade ,滨海中心 ,எஸ்பிளனேட் ,17 April 2010 ,Convention Centre ,EPN
 CC4  DT15  ,Promenade ,宝门廊 ,புரொமனாட் ,17 April 2010 ,Millenia ,PMN
 CC5  ,Nicoll Highway[C] ,尼诰大道 ,நிக்கல் நெடுஞ்சாலை ,17 April 2010 ,Nicoll Highway ,NCH
 CC6  ,Stadium ,体育场 ,ஸ்டேடியம் ,17 April 2010 ,Boulevard ,SDM
 CC7  ,Mountbatten ,蒙巴登 ,மவுண்ட்பேட்டன் ,17 April 2010 ,Old Airport Road ,MBT
 CC8  ,Dakota ,达科达 ,டகோட்டா ,17 April 2010 ,Tanjong Katong ,DKT
 CC9  EW8  ,Paya Lebar ,巴耶利峇 ,பாய லேபார் ,17 April 2010 ,Paya Lebar ,PYL
 CC10  DT26  ,MacPherson ,麦波申 ,மெக்பர்சன் ,17 April 2010 ,MacPherson ,MPS
 CC11  ,Tai Seng ,大成 ,தை செங் ,17 April 2010 ,Upper Paya Lebar ,TSG
 CC12  ,Bartley ,巴特礼 ,பார்ட்லி ,28 May 2009 ,Bartley ,BLY
 CC13  NE12  ,Serangoon ,实龙岗 ,சிராங்கூன் ,28 May 2009 ,Serangoon ,SER
 CC14  ,Lorong Chuan ,罗弄泉 ,லோரோங் சுவான் ,28 May 2009 ,Lorong Chuan ,LRC
 CC15  NS17  ,Bishan ,碧山 ,பீஷான் ,28 May 2009 ,Bishan ,BSH
 CC16  ,Marymount ,玛丽蒙 ,மேரிமவுண்ட் ,28 May 2009 ,Marymount ,MRM
 CC17  TE9  ,Caldecott ,加利谷 ,கால்டிகாட் ,8 October 2011 ,Thomson ,CDT
 CC18  ,Bukit Brown ,武吉布朗 ,புக்கிட் பிரவுன் ,TBA ,Bukit Brown ,TBA
 CC19  DT9  ,Botanic Gardens ,植物园 ,பூ மலை ,8 October 2011 ,Adam ,BTN
 CC20  ,Farrer Road ,花拉路 ,ஃபேரர் சாலை ,8 October 2011 ,Farrer ,FRR
 CC21  ,Holland Village ,荷兰村 ,ஹாலந்து வில்லேஜ் ,8 October 2011 ,Holland ,HLV
 CC22  EW21  ,Buona Vista ,波那维斯达 ,புவன விஸ்தா ,8 October 2011 ,Buona Vista ,BNV
 CC23  ,one-north ,纬壹 ,ஒன்-நார்த் ,8 October 2011 ,one-north ,OHN
 CC24  ,Kent Ridge ,肯特岗 ,கெண்ட் ரிஜ் ,8 October 2011 ,NUH ,KRG
 CC25  ,Haw Par Villa ,虎豹别墅 ,ஹா பர் வில்லா ,8 October 2011 ,West Coast ,HPV
 CC26  ,Pasir Panjang ,巴西班让 ,பாசிர் பாஞ்சாங் ,8 October 2011 ,Pasir Panjang ,PPJ
 CC27  ,Labrador Park ,拉柏多公园 ,லாப்ரடார் பூங்கா ,8 October 2011 ,Alexandra ,LBD
 CC28  ,Telok Blangah ,直落布兰雅 ,தெலுக் பிளாங்கா ,8 October 2011 ,Telok Blangah ,TLB
 CC29  NE1  ,HarbourFront ,港湾 ,துறைமுகம் ,8 October 2011 ,World Trade Centre ,HBF
 CC30  ,Keppel ,岌巴 ,கெப்பல் ,2025,,TBA
 CC31  ,Cantonment ,广东民 ,கெண்டோன்மண்ட் ,2025,,TBA
 CC32  ,Prince Edward ,爱德华太子 ,பிரின்ஸ் எட்வர்ட் ,2025,,TBA
Circle Line Extension (CCLe),,,,,,
 CE1  DT16  ,Bayfront ,海湾舫 ,பேஃபிரண்ட் ,14 January 2012 ,Bayfront ,BFT
 CE2  NS27  TE20  ,Marina Bay ,滨海湾 ,மரீனா பே ,14 January 2012 ,Marina Bay ,MRB
 DT1  BP6  ,Bukit Panjang ,武吉班让 ,புக்கிட் பாஞ்சாங் ,27 December 2015 ,Petir ,BPJ
 DT2  ,Cashew ,凯秀 ,கேஷ்யூ ,27 December 2015 ,Cashew ,CSW
 DT3  ,Hillview ,山景 ,ஹில்வியூ ,27 December 2015 ,Hillview ,HVW
 DT4  ,Reserved Station ,,,,,
 DT5  ,Beauty World ,美世界 ,பியூட்டி வோர்ல்ட் ,27 December 2015 ,Beauty World ,BTW
 DT6  ,King Albert Park ,阿尔柏王园 ,கிங் ஆல்பர்ட் பார்க் ,27 December 2015 ,Blackmore ,KAP
 DT7  ,Sixth Avenue ,第六道 ,சிக்ஸ்த் அவென்யூ ,27 December 2015 ,Sixth Avenue ,SAV
 DT8  ,Tan Kah Kee ,陈嘉庚 ,டான் கா கீ ,27 December 2015 ,Duchess ,TKK
 DT9  CC19  ,Botanic Gardens ,植物园 ,பூ மலை ,27 December 2015 ,Botanic Gardens ,BTN
 DT10  TE11  ,Stevens ,史蒂芬 ,ஸ்டீவன்ஸ் ,27 December 2015 ,Stevens ,SVS
 DT11  NS21  ,Newton ,纽顿 ,நியூட்டன் ,27 December 2015 ,Newton ,NEW
 DT12  NE7  ,Little India ,小印度 ,லிட்டில் இந்தியா ,27 December 2015 ,Little India ,LTI
 DT13  ,Rochor ,梧槽 ,ரோச்சோர் ,27 December 2015 ,Rochor ,RCR
 DT14  EW12  ,Bugis ,武吉士 ,பூகிஸ் ,22 December 2013 ,Bugis ,BGS
 DT15  CC4  ,Promenade ,宝门廊 ,புரொமனாட் ,22 December 2013 ,Promenade ,PMN
 DT16  CE1  ,Bayfront ,海湾舫 ,பேஃபிரண்ட் ,22 December 2013 ,Bayfront ,BFT
 DT17  ,Downtown ,市中心 ,டௌன்டவுன் ,22 December 2013 ,Landmark ,DTN
 DT18  ,Telok Ayer ,直落亚逸 ,தெலுக் ஆயர் ,22 December 2013 ,Cross Street ,TLA
 DT19  NE4  ,Chinatown ,牛车水 ,சைனாடவுன் ,22 December 2013 ,Hong Lim ,CNT
 DT20  ,Fort Canning ,福康宁 ,ஃபோர்ட் கேனிங் ,2017,River Valley ,TBA
 DT21  ,Bencoolen ,明古连 ,பென்கூலன் ,2017,Bencoolen ,TBA
 DT22  ,Jalan Besar ,惹兰勿刹 ,ஜாலான் புசார் ,2017,Sungei Road ,TBA
 DT23  ,Bendemeer ,明地迷亚 ,பெண்டிமியர் ,2017,Jalan Besar ,TBA
 DT24  ,Geylang Bahru ,芽笼巴鲁 ,கேலாங் பாரு ,2017,Kallang Bahru ,TBA
 DT25  ,Mattar ,玛达 ,மட்டர் ,2017,Mattar ,TBA
 DT26  CC10  ,MacPherson ,麦波申 ,மெக்பர்சன் ,2017 ,MacPherson ,MPS
 DT27  ,Ubi ,乌美 ,ஊபீ ,2017,Ubi ,TBA
 DT28  ,Kaki Bukit ,加基武吉 ,காக்கி புக்கிட் ,2017,Kaki Bukit ,TBA
 DT29  ,Bedok North ,勿洛北 ,பிடோக் வடக்கு ,2017,Bedok Town Park ,TBA
 DT30  ,Bedok Reservoir ,勿洛蓄水池 ,பிடோக் நீர்த்தேக்கம் ,2017,Bedok Reservoir ,TBA
 DT31  ,Tampines West ,淡滨尼西 ,தெம்பினிஸ் மேற்கு ,2017,Tampines West ,TBA
 DT32  EW2  ,Tampines ,淡滨尼 ,தெம்பினிஸ் ,2017 ,Tampines North ,TAM
 DT33  ,Tampines East ,淡滨尼东 ,தெம்பினிஸ் கிழக்கு ,2017,Tampines East ,TBA
 DT34  ,Upper Changi ,樟宜上段 ,அப்பர் சாங்கி ,2017,Upper Changi ,TBA
 DT35  CG1  ,Expo ,博览 ,எக்ஸ்போ ,2017 ,Expo ,XPO
 DT36  ,Xilin ,锡林 ,சீலின் ,2024,Xilin ,TBA
 DT37  TE31  ,Sungei Bedok ,双溪勿洛[3] ,சங்கை பிடோக் ,2024,Sungei Bedok ,TBA
 TE1  ,Woodlands North ,兀兰北 ,உட்லண்ட்ஸ் நார்த் ,2019,Woodlands North ,TBA
 TE2  NS9  ,Woodlands ,兀兰 ,ஊட்லண்ட்ஸ் ,2019 ,Woodlands ,WDL
 TE3  ,Woodlands South ,兀兰南 ,உட்லண்ட்ஸ் சவுத் ,2019,Woodlands South ,TBA
